Date,Open,High,Low,Close,Volume
2006-04-06,86700,86700,84300,84500,174000
2006-04-07,84000,85000,84000,84200,188024
2006-04-10,85200,85200,83700,83900,181294
2006-04-11,84200,84300,81800,81900,154004
2006-04-12,81500,81500,79500,81000,261434
2006-04-13,80500,81200,80300,81100,260522
2006-04-14,82000,82200,81100,81500,463630
2006-04-17,82400,83200,82400,82700,339836
2006-04-18,82000,83500,82000,82100,171598
2006-04-19,83200,83800,82900,83600,493415
2006-04-20,83900,91100,83900,89900,1070448
2006-04-21,91500,91600,88000,89100,352912
2006-04-24,89500,89500,85700,86500,354608
2006-04-25,87100,89300,85900,89000,310268
2006-04-26,88500,88500,85500,87000,586472
2006-04-27,86500,87400,84800,86900,399403
2006-04-28,86900,87000,82900,83300,609912
2006-05-02,81500,82700,78900,80000,853773
2006-05-03,79600,81100,78000,78600,1025156
2006-05-04,78200,80400,77500,79500,1400857
2006-05-08,81200,82900,80900,82100,760114
2006-05-09,81300,82400,80800,82400,324836
2006-05-10,81500,82000,80000,81900,389611
2006-05-11,82000,82100,81000,82000,355057
2006-05-12,81700,81700,80500,81600,286631
2006-05-15,80700,80800,79500,79500,263543
2006-05-16,79500,80000,78300,79100,356791
2006-05-17,80300,80300,78800,79000,189548
2006-05-18,77000,77000,74400,74900,789839
2006-05-19,75600,77100,75000,77100,408833
2006-05-22,76200,77000,73100,74400,447984
2006-05-23,73000,75500,72000,75500,313586
2006-05-24,74500,74600,72000,73300,479765
2006-05-25,73400,73700,71300,71300,240139
2006-05-26,73400,76700,72000,76500,426288
2006-05-29,77100,77900,75000,76800,263102
2006-05-30,75800,76800,74700,74800,284196
2006-06-01,75000,75900,73900,75900,378258
2006-06-02,76800,76800,74800,76800,227021
2006-06-05,76400,76600,75000,75700,239616
2006-06-07,73900,74100,72900,72900,363157
2006-06-08,72900,73400,69500,69500,367719
2006-06-09,70700,71300,68700,69000,443965
2006-06-12,69400,72500,68000,72500,537390
2006-06-13,71000,71300,69400,70000,374909
2006-06-14,70500,72300,70500,71900,464586
2006-06-15,72500,73000,71400,71800,360901
2006-06-16,73300,75300,72000,75200,584962
2006-06-19,75000,75000,73200,74100,265358
2006-06-20,73500,73500,71900,72000,157180
2006-06-21,72800,72800,71600,72000,111866
2006-06-22,73500,75200,73300,74200,304508
2006-06-23,73300,75600,73300,75100,319296
2006-06-26,75500,76400,74300,76000,238274
2006-06-27,78000,78500,76500,77800,300254
2006-06-28,77500,79200,76500,78800,318952
2006-06-29,78900,79400,78000,79200,273164
2006-06-30,80000,80900,79200,80300,297663
2006-07-03,80000,80200,79600,80000,191787
2006-07-04,80000,80300,77300,79900,340507
2006-07-05,76900,78200,76600,76900,349582
2006-07-06,76700,76900,74600,76000,209331
2006-07-07,76300,76800,75500,75900,193210
2006-07-10,75200,76700,74700,76700,269494
2006-07-11,77000,78400,76900,78400,308210
2006-07-12,79100,79800,78400,79700,296900
2006-07-13,78500,79200,76800,77900,350395
2006-07-14,76200,76900,74000,74100,298542
2006-07-18,73500,73700,72400,73600,213300
2006-07-19,72700,73700,72300,73500,232527
2006-07-20,74200,75100,73900,74700,204597
2006-07-21,74300,77400,74000,77400,311693
2006-07-24,76200,77600,74900,77200,252089
2006-07-25,77700,79500,77700,78600,231222
2006-07-26,78100,78900,77500,78100,168582
2006-07-27,78100,79400,77500,79300,294981
2006-07-28,78700,79200,77700,78700,150157
2006-07-31,79500,79600,78000,79400,154569
2006-08-01,78600,79600,76600,77000,302393
2006-08-02,76900,78000,76100,78000,191534
2006-08-03,78100,79000,76500,77700,375906
2006-08-04,77700,78000,76900,78000,256214
2006-08-07,77900,80000,77000,78400,252703
2006-08-08,79300,81500,79200,81400,509320
2006-08-09,81400,83800,81000,83800,646723
2006-08-10,83900,84000,82200,83900,331999
2006-08-11,83900,84500,82500,82900,322603
2006-08-14,82500,83500,81800,82500,332169
2006-08-16,83700,85300,83700,85100,465493
2006-08-17,85500,85700,84400,84400,284684
2006-08-18,84400,87500,84200,87500,537564
2006-08-21,87000,87000,86000,87000,277927
2006-08-22,86500,87400,86000,86600,411699
2006-08-23,87000,87000,85200,86300,251630
2006-08-24,86800,87200,85100,86700,215972
2006-08-25,86000,87000,85200,87000,238873
2006-08-28,87000,87100,85700,86900,188324
2006-08-29,87000,87500,86500,86900,214979
2006-08-30,87800,87900,87100,87300,438035
2006-08-31,87800,89100,87400,88100,415854
2006-09-01,88100,91000,87600,91000,281402
2006-09-04,90600,93100,90400,91600,358078
2006-09-05,93000,94400,92200,94000,612002
2006-09-06,94000,94000,92700,93600,268361
2006-09-07,92100,93600,92100,93600,115925
2006-09-08,92500,92700,90800,91300,332825
